               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095741,            0.032861,            0.025274,              0.5534,             0.35651,             0.21629,            0.059237,            0.071674,            0.023993,             0.01959,            0.070174,            0.003314,            0.003314
                   1,            0.073671,            0.023981,             0.02001,             0.40047,             0.55345,             0.41209,             0.13698,            0.062803,            0.020903,            0.017815,            0.040152,           0.0066254,           0.0066254
                   2,            0.069062,            0.020982,            0.018351,             0.49198,             0.47046,             0.42696,              0.1572,            0.056583,            0.019995,            0.016075,            0.010109,           0.0099147,           0.0099147
                   3,            0.064414,            0.019804,            0.016955,             0.64515,             0.76441,             0.75721,             0.32468,            0.054101,            0.019679,            0.014969,            0.009901,            0.009901,            0.009901
                   4,            0.060145,             0.01928,            0.016217,             0.79468,             0.76242,             0.82348,             0.38929,            0.051011,            0.019315,            0.014282,            0.009901,            0.009901,            0.009901
                   5,            0.057269,            0.018968,            0.015313,             0.86645,             0.80158,             0.87708,             0.44794,            0.048288,            0.018322,            0.013774,            0.009868,            0.009868,            0.009868
                   6,            0.055422,            0.017845,            0.014697,             0.88824,              0.8012,             0.87977,              0.4536,            0.046571,            0.018153,            0.013315,            0.009835,            0.009835,            0.009835
                   7,            0.053783,            0.018083,             0.01421,             0.89134,             0.80866,              0.8896,             0.46764,            0.047826,            0.018098,            0.013199,            0.009802,            0.009802,            0.009802
                   8,            0.052447,            0.017448,            0.014208,             0.91755,             0.82535,             0.90087,             0.49316,            0.044883,            0.017568,            0.012857,            0.009769,            0.009769,            0.009769
                   9,             0.05113,            0.017164,            0.013956,             0.91461,             0.83523,             0.91008,             0.51626,            0.044923,            0.017454,            0.012672,            0.009736,            0.009736,            0.009736
                  10,             0.05071,            0.017204,            0.013665,             0.90843,             0.82674,             0.90512,             0.48557,            0.045897,            0.017479,            0.012538,            0.009703,            0.009703,            0.009703
                  11,            0.050258,            0.016997,            0.013623,             0.93201,             0.82919,             0.90984,             0.49256,            0.044207,            0.017241,            0.012397,             0.00967,             0.00967,             0.00967
                  12,              0.0494,            0.016742,            0.013866,             0.94169,             0.82971,             0.90851,             0.53066,            0.043642,            0.017151,            0.012312,            0.009637,            0.009637,            0.009637
                  13,            0.049096,            0.016508,            0.013472,             0.94057,             0.83858,             0.91543,             0.51817,            0.042955,             0.01708,            0.012318,            0.009604,            0.009604,            0.009604
                  14,            0.048176,            0.016415,            0.013417,             0.94194,             0.83983,             0.91628,             0.53424,            0.044125,             0.01706,            0.012251,            0.009571,            0.009571,            0.009571
                  15,            0.048618,            0.016268,            0.012987,             0.94697,             0.83725,              0.9134,              0.5378,            0.042157,            0.016885,            0.012186,            0.009538,            0.009538,            0.009538
                  16,            0.047753,            0.015972,            0.013067,             0.94757,             0.85637,             0.92339,              0.5493,            0.043473,            0.016816,            0.012059,            0.009505,            0.009505,            0.009505
                  17,             0.04728,            0.016227,            0.013177,             0.94161,             0.83683,             0.91608,             0.55047,            0.041493,            0.016525,            0.012012,            0.009472,            0.009472,            0.009472
                  18,            0.047167,            0.016317,            0.012888,             0.95591,             0.83847,             0.91651,             0.55677,            0.041711,            0.016634,            0.011944,            0.009439,            0.009439,            0.009439
                  19,            0.047124,            0.016002,            0.012928,             0.95645,             0.85421,             0.92612,             0.55787,            0.041917,            0.016746,            0.012037,            0.009406,            0.009406,            0.009406
                  20,            0.046647,             0.01655,            0.012726,             0.95257,             0.83157,             0.91394,             0.55848,            0.040841,            0.016475,              0.0119,            0.009373,            0.009373,            0.009373
                  21,            0.045934,            0.015689,            0.012746,             0.95945,             0.85483,             0.92361,             0.55452,            0.041472,            0.016502,            0.011878,             0.00934,             0.00934,             0.00934
                  22,            0.045867,            0.016006,            0.012754,             0.96829,             0.85663,             0.92762,              0.5808,            0.040576,            0.016214,            0.011865,            0.009307,            0.009307,            0.009307
                  23,            0.046362,            0.015948,             0.01276,             0.95184,             0.84668,             0.92088,             0.57524,            0.041094,            0.016388,            0.011734,            0.009274,            0.009274,            0.009274
                  24,            0.046008,            0.015748,            0.012739,              0.9606,             0.85178,             0.92385,             0.57111,            0.040402,            0.016285,            0.011698,            0.009241,            0.009241,            0.009241
                  25,            0.045325,            0.015987,            0.012743,             0.96643,             0.85802,             0.92726,             0.57935,            0.040414,            0.016155,            0.011648,            0.009208,            0.009208,            0.009208
